Date,NAV
2021-01-03 18:30:00,14.3
2021-01-04 18:30:00,14.37
2021-01-05 18:30:00,14.43
2021-01-06 18:30:00,14.66
2021-01-07 18:30:00,14.77
2021-01-10 18:30:00,14.7
2021-01-11 18:30:00,14.69
2021-01-12 18:30:00,14.64
2021-01-13 18:30:00,14.61
2021-01-14 18:30:00,14.48
2021-01-17 18:30:00,14.2
2021-01-18 18:30:00,14.42
2021-01-19 18:30:00,14.5
2021-01-20 18:30:00,14.46
2021-01-21 18:30:00,14.33
2021-01-24 18:30:00,14.17
2021-01-26 18:30:00,14.06
2021-01-27 18:30:00,13.99
2021-01-28 18:30:00,13.96
2021-01-31 18:30:00,14.27
2021-02-01 18:30:00,14.47
2021-02-02 18:30:00,14.65
2021-02-03 18:30:00,14.82
2021-02-04 18:30:00,14.74
2021-02-07 18:30:00,14.96
2021-02-08 18:30:00,14.96
2021-02-09 18:30:00,15.01
2021-02-10 18:30:00,15.33
2021-02-11 18:30:00,15.39
2021-02-14 18:30:00,15.42
2021-02-15 18:30:00,15.45
2021-02-16 18:30:00,15.56
2021-02-17 18:30:00,15.67
2021-02-18 18:30:00,15.5
2021-02-21 18:30:00,15.33
2021-02-22 18:30:00,15.41
2021-02-23 18:30:00,15.56
2021-02-24 18:30:00,15.73
2021-02-25 18:30:00,15.61
2021-02-28 18:30:00,15.86
2021-03-01 18:30:00,16.0
2021-03-02 18:30:00,16.19
2021-03-03 18:30:00,16.27
2021-03-04 18:30:00,16.01
2021-03-07 18:30:00,16.09
2021-03-08 18:30:00,16.01
2021-03-09 18:30:00,16.21
2021-03-11 18:30:00,16.26
2021-03-14 18:30:00,16.18
2021-03-15 18:30:00,16.24
2021-03-16 18:30:00,15.93
2021-03-17 18:30:00,15.73
2021-03-18 18:30:00,15.89
2021-03-21 18:30:00,15.91
2021-03-22 18:30:00,15.97
2021-03-23 18:30:00,15.74
2021-03-24 18:30:00,15.49
2021-03-25 18:30:00,15.72
2021-03-29 18:30:00,15.95
2021-03-30 18:30:00,16.05
2021-03-31 18:30:00,16.25
2021-04-04 18:30:00,15.98
2021-04-05 18:30:00,16.17
2021-04-06 18:30:00,16.37
2021-04-07 18:30:00,16.52
2021-04-08 18:30:00,16.54
2021-04-11 18:30:00,15.78
2021-04-12 18:30:00,16.03
2021-04-14 18:30:00,16.04
2021-04-15 18:30:00,16.17
2021-04-18 18:30:00,15.92
2021-04-19 18:30:00,15.99
2021-04-21 18:30:00,16.11
2021-04-22 18:30:00,16.16
2021-04-25 18:30:00,16.38
2021-04-26 18:30:00,16.64
2021-04-27 18:30:00,16.88
2021-04-28 18:30:00,16.98
2021-04-29 18:30:00,16.98
2021-05-02 18:30:00,17.27
2021-05-03 18:30:00,17.15
2021-05-04 18:30:00,17.39
2021-05-05 18:30:00,17.39
2021-05-06 18:30:00,17.44
2021-05-09 18:30:00,17.72
2021-05-10 18:30:00,17.79
2021-05-11 18:30:00,17.63
2021-05-13 18:30:00,17.47
2021-05-16 18:30:00,17.81
2021-05-17 18:30:00,18.13
2021-05-18 18:30:00,18.21
2021-05-19 18:30:00,18.14
2021-05-20 18:30:00,18.25
2021-05-23 18:30:00,18.48
2021-05-24 18:30:00,18.44
2021-05-25 18:30:00,18.55
2021-05-26 18:30:00,18.58
2021-05-27 18:30:00,18.55
2021-05-30 18:30:00,18.68
2021-05-31 18:30:00,18.57
2021-06-01 18:30:00,18.76
2021-06-02 18:30:00,18.89
2021-06-03 18:30:00,18.98
2021-06-06 18:30:00,19.17
2021-06-07 18:30:00,19.27
2021-06-08 18:30:00,19.11
2021-06-09 18:30:00,19.33
2021-06-10 18:30:00,19.34
2021-06-13 18:30:00,19.24
2021-06-14 18:30:00,19.31
2021-06-15 18:30:00,19.2
2021-06-16 18:30:00,19.15
2021-06-17 18:30:00,19.03
2021-06-20 18:30:00,19.13
2021-06-21 18:30:00,19.22
2021-06-22 18:30:00,19.21
2021-06-23 18:30:00,19.21
2021-06-24 18:30:00,19.34
2021-06-27 18:30:00,19.5
2021-06-28 18:30:00,19.49
2021-06-29 18:30:00,19.65
2021-06-30 18:30:00,19.64
2021-07-01 18:30:00,19.76
2021-07-04 18:30:00,19.97
2021-07-05 18:30:00,20.01
2021-07-06 18:30:00,20.14
2021-07-07 18:30:00,20.06
2021-07-08 18:30:00,20.09
2021-07-11 18:30:00,20.25
2021-07-12 18:30:00,20.53
2021-07-13 18:30:00,20.72
2021-07-14 18:30:00,20.88
2021-07-15 18:30:00,21.08
2021-07-18 18:30:00,21.12
2021-07-19 18:30:00,20.78
2021-07-21 18:30:00,21.01
2021-07-22 18:30:00,21.01
2021-07-25 18:30:00,21.14
2021-07-26 18:30:00,21.05
2021-07-27 18:30:00,21.08
2021-07-28 18:30:00,21.28
2021-07-29 18:30:00,21.39
2021-08-01 18:30:00,21.7
2021-08-02 18:30:00,21.68
2021-08-03 18:30:00,21.43
2021-08-04 18:30:00,21.31
2021-08-05 18:30:00,21.24
2021-08-08 18:30:00,21.04
2021-08-09 18:30:00,20.58
2021-08-10 18:30:00,20.48
2021-08-11 18:30:00,20.87
2021-08-12 18:30:00,20.94
2021-08-15 18:30:00,20.87
2021-08-16 18:30:00,20.88
2021-08-17 18:30:00,20.8
2021-08-19 18:30:00,20.38
2021-08-22 18:30:00,20.09
2021-08-23 18:30:00,20.47
2021-08-24 18:30:00,20.65
2021-08-25 18:30:00,20.77
2021-08-26 18:30:00,20.94
2021-08-29 18:30:00,21.37
2021-08-30 18:30:00,21.56
2021-08-31 18:30:00,21.74
2021-09-01 18:30:00,21.93
2021-09-02 18:30:00,22.15
2021-09-05 18:30:00,22.25
2021-09-06 18:30:00,22.23
2021-09-07 18:30:00,22.41
2021-09-08 18:30:00,22.57
2021-09-12 18:30:00,22.81
2021-09-13 18:30:00,22.87
2021-09-14 18:30:00,22.91
2021-09-15 18:30:00,22.94
2021-09-16 18:30:00,22.74
2021-09-19 18:30:00,22.31
2021-09-20 18:30:00,22.31
2021-09-21 18:30:00,22.65
2021-09-22 18:30:00,22.84
2021-09-23 18:30:00,22.88
2021-09-26 18:30:00,22.91
2021-09-27 18:30:00,22.79
2021-09-28 18:30:00,22.77
2021-09-29 18:30:00,22.95
2021-09-30 18:30:00,22.93
2021-10-03 18:30:00,23.26
2021-10-04 18:30:00,23.41
2021-10-05 18:30:00,23.26
2021-10-06 18:30:00,23.55
2021-10-07 18:30:00,23.77
2021-10-10 18:30:00,24.08
2021-10-11 18:30:00,24.3
2021-10-12 18:30:00,24.61
2021-10-13 18:30:00,24.58
2021-10-17 18:30:00,24.84
2021-10-18 18:30:00,24.36
2021-10-19 18:30:00,23.85
2021-10-20 18:30:00,23.63
2021-10-21 18:30:00,23.37
2021-10-24 18:30:00,22.98
2021-10-25 18:30:00,23.55
2021-10-26 18:30:00,23.56
2021-10-27 18:30:00,23.22
2021-10-28 18:30:00,23.19
2021-10-31 18:30:00,23.56
2021-11-01 18:30:00,23.86
2021-11-02 18:30:00,23.9
2021-11-07 18:30:00,24.51
2021-11-08 18:30:00,24.6
2021-11-09 18:30:00,24.58
2021-11-10 18:30:00,24.56
2021-11-11 18:30:00,24.42
2021-11-14 18:30:00,24.35
2021-11-15 18:30:00,24.38
2021-11-16 18:30:00,24.26
2021-11-17 18:30:00,23.87
2021-11-21 18:30:00,23.24
2021-11-22 18:30:00,23.53
2021-11-23 18:30:00,23.64
2021-11-24 18:30:00,23.8
2021-11-25 18:30:00,23.06
2021-11-28 18:30:00,22.57
2021-11-29 18:30:00,23.14
2021-11-30 18:30:00,23.2
2021-12-01 18:30:00,23.59
2021-12-02 18:30:00,23.58
2021-12-05 18:30:00,23.21
2021-12-06 18:30:00,23.48
2021-12-07 18:30:00,23.88
2021-12-08 18:30:00,24.01
2021-12-09 18:30:00,24.15
2021-12-12 18:30:00,24.35
2021-12-13 18:30:00,24.48
2021-12-14 18:30:00,24.32
2021-12-15 18:30:00,24.25
2021-12-16 18:30:00,23.77
2021-12-19 18:30:00,23.04
2021-12-20 18:30:00,23.31
2021-12-21 18:30:00,23.72
2021-12-22 18:30:00,23.86
2021-12-23 18:30:00,23.67
2021-12-26 18:30:00,23.79
2021-12-27 18:30:00,24.04
2021-12-28 18:30:00,24.11
2021-12-29 18:30:00,24.1
2021-12-30 18:30:00,24.3
2022-01-02 18:30:00,24.65
2022-01-03 18:30:00,24.86
2022-01-04 18:30:00,24.92
2022-01-05 18:30:00,24.91
2022-01-06 18:30:00,24.99
2022-01-09 18:30:00,25.26
2022-01-10 18:30:00,25.39
2022-01-11 18:30:00,25.5
2022-01-12 18:30:00,25.66
2022-01-13 18:30:00,25.79
2022-01-16 18:30:00,25.89
2022-01-17 18:30:00,25.54
2022-01-18 18:30:00,25.67
2022-01-19 18:30:00,25.68
2022-01-20 18:30:00,25.23
2022-01-23 18:30:00,24.08
2022-01-24 18:30:00,24.34
2022-01-26 18:30:00,24.26
2022-01-27 18:30:00,24.54
2022-01-30 18:30:00,24.8
2022-01-31 18:30:00,25.03
2022-02-01 18:30:00,25.47
2022-02-02 18:30:00,25.41
2022-02-03 18:30:00,25.27
2022-02-06 18:30:00,25.1
2022-02-07 18:30:00,24.74
2022-02-08 18:30:00,24.85
2022-02-09 18:30:00,24.98
2022-02-10 18:30:00,24.69
2022-02-13 18:30:00,23.85
2022-02-14 18:30:00,24.21
2022-02-15 18:30:00,24.22
2022-02-16 18:30:00,24.19
2022-02-17 18:30:00,24.03
2022-02-20 18:30:00,23.72
2022-02-21 18:30:00,23.34
2022-02-22 18:30:00,23.63
2022-02-23 18:30:00,22.56
2022-02-24 18:30:00,23.33
2022-02-27 18:30:00,23.69
2022-03-01 18:30:00,23.64
2022-03-02 18:30:00,23.75
2022-03-03 18:30:00,23.4
2022-03-06 18:30:00,22.9
2022-03-07 18:30:00,23.26
2022-03-08 18:30:00,23.73
2022-03-09 18:30:00,24.08
2022-03-10 18:30:00,24.29
2022-03-13 18:30:00,24.51
2022-03-14 18:30:00,24.19
2022-03-15 18:30:00,24.53
2022-03-16 18:30:00,24.73
2022-03-20 18:30:00,24.81
2022-03-21 18:30:00,24.86
2022-03-22 18:30:00,24.95
2022-03-23 18:30:00,25.04
2022-03-24 18:30:00,25.02
2022-03-27 18:30:00,24.98
2022-03-28 18:30:00,25.26
2022-03-29 18:30:00,25.46
2022-03-30 18:30:00,25.69
2022-03-31 18:30:00,25.8
